timestamp,cpu_percent,ram_mb
1737395747,105.00,1076.57
1737395748,105.00,1076.57
1737395749,106.00,1076.57
1737395750,165.00,1096.44
1737395751,368.00,1088.43
1737395752,350.00,1051.57
1737395753,105.00,1051.57
1737395754,106.00,1051.57
1737395755,105.00,1051.57
1737395756,108.00,1051.57
1737395757,109.00,1051.57
1737395758,108.00,1051.57
1737395759,104.00,1051.57
1737395760,111.00,1051.57
1737395761,108.00,1051.57
1737395762,107.00,1051.57
1737395763,108.00,1051.57
1737395764,105.00,1051.57
1737395765,106.00,1051.57
1737395766,105.00,1051.57
1737395767,104.00,1051.57
1737395768,108.00,1051.57
1737395769,107.00,1051.57
1737395770,105.00,1051.57
1737395771,107.00,1051.57
1737395772,104.00,1051.57
1737395773,105.00,1051.57
1737395774,106.00,1051.57
1737395775,105.00,1051.57
1737395776,108.00,1051.57
1737395777,106.00,1051.57
1737395778,110.00,1051.57
1737395779,105.00,1051.57
1737395780,107.00,1051.57
1737395781,104.00,1051.57
1737395782,105.00,1051.57
1737395783,112.00,1051.57
1737395784,109.00,1051.57
1737395785,104.00,1051.57
1737395786,112.00,1051.57
1737395787,110.00,1051.57
1737395788,106.00,1051.57
1737395789,110.00,1051.57
1737395790,108.00,1051.57
1737395791,105.00,1051.57
1737395792,108.00,1051.57
1737395793,105.00,1051.57
1737395794,105.00,1051.57
1737395795,106.00,1051.57
1737395796,105.00,1051.57
1737395797,108.00,1051.57
1737395798,116.00,1051.57
1737395799,107.00,1051.57
1737395800,105.00,1051.57
1737395801,109.00,1051.57
1737395802,109.00,1051.57
1737395803,110.00,1051.57
1737395804,109.00,1051.57
1737395805,104.00,1051.57
1737395806,105.00,1051.57
1737395807,107.00,1051.57
1737395808,108.00,1051.57
1737395809,105.00,1051.57
1737395810,107.00,1051.57
1737395811,108.00,1051.57
1737395812,108.00,1051.57
1737395813,106.00,1051.57
1737395814,105.00,1051.57
1737395815,105.00,1051.57
1737395816,112.00,1051.57
1737395817,105.00,1051.57
1737395818,106.00,1051.57
1737395819,110.00,1051.57
1737395820,105.00,1051.57
1737395821,108.00,1051.57
1737395822,107.00,1051.57
1737395823,105.00,1051.57
1737395824,105.00,1051.57
1737395825,106.00,1051.57
1737395826,105.00,1051.57
1737395827,108.00,1051.57
1737395828,105.00,1051.57
1737395829,104.00,1051.57
1737395830,108.00,1051.57
1737395831,105.00,1051.57
1737395832,110.00,1051.57
1737395833,105.00,1051.57
1737395834,106.00,1051.57
1737395835,117.00,1051.57
1737395836,105.00,1051.57
1737395837,109.00,1051.57
1737395838,108.00,1051.57
1737395839,109.00,1051.57
1737395840,109.00,1051.57
1737395841,114.00,1051.57
1737395842,104.00,1051.57
1737395843,110.00,1051.57
1737395844,104.00,1051.57
1737395845,109.00,1051.57
1737395846,106.00,1051.57
1737395847,108.00,1051.57
1737395848,105.00,1051.57
1737395849,109.00,1051.57
1737395850,104.00,1051.57
1737395851,107.00,1051.57
1737395852,107.00,1051.57
1737395853,114.00,1051.57
1737395854,104.00,1051.57
1737395855,155.00,1051.57
1737395856,240.00,1051.57
1737395857,246.00,1051.57
1737395858,344.00,1092.48
1737395859,367.00,1052.73
1737395860,296.00,1062.73
1737395861,268.00,1062.73
1737395862,272.00,1062.73
1737395863,266.00,1062.73
1737395864,269.00,1062.73
1737395865,266.00,1062.73
1737395866,248.00,1062.73
1737395867,298.00,1098.59
1737395868,370.00,1093.61
1737395869,338.00,1096.24
1737395870,262.00,1065.78
1737395871,248.00,1065.78
1737395872,265.00,1065.78
1737395873,252.00,1065.78
1737395874,259.00,1065.78
1737395875,296.00,1094.17
1737395876,366.00,1095.17
1737395877,338.00,1065.27
1737395878,271.00,1065.27
1737395879,272.00,1065.27
1737395880,266.00,1065.27
1737395881,229.00,1065.27
1737395882,240.00,1065.27
1737395883,257.00,1065.27
